# https://github.com/mozillazg/pinyin-data
# 《通用规范汉字表》(2013 年版)里 8105 个汉字的最常用读音
# -> 表示需要验证
# ? 表示有争议，无法确定哪个是最常用的
# <- 表示需要补充拼音信息
# URO (7,832)
U+4E00: yī  # 一
U+4E69: jī  # 乩
U+4E70: mǎi  # 买
U+4E71: luàn  # 乱
U+4E73: rǔ  # 乳
U+4E78: nǎ  # 乸
U+4E7E: qián  # 乾 ?-> gān
U+4E86: le  # 了
U+4E88: yǔ  # 予 ?-> yú
U+4E89: zhēng  # 争
U+4E8B: shì  # 事
U+4E8C: èr  # 二
U+4E8D: chù  # 亍
U+4E8E: yú  # 于
U+4E8F: kuī  # 亏
U+4E91: yún  # 云
U+4E92: hù  # 互
U+4E93: qí  # 亓
U+4E94: wǔ  # 五
U+4E95: jǐng  # 井
U+4E98: gèn  # 亘
U+4E9A: yà  # 亚
U+4E9B: xiē  # 些
U+4E9F: jí  # 亟
U+4EA1: wáng  # 亡
U+4EA2: kàng  # 亢
U+4EA4: jiāo  # 交
U+4EA5: hài  # 亥
U+4EA6: yì  # 亦
U+4EA7: chǎn  # 产
U+4EA8: hēng  # 亨
U+4EA9: mǔ  # 亩
U+4EAB: xiǎng  # 享
U+4EAC: jīng  # 京
U+4EAD: tíng  # 亭
U+4EAE: liàng  # 亮
U+4EB2: qīn  # 亲
U+4EB3: bó  # 亳
U+4EB5: xiè  # 亵
U+4EB6: dǎn  # 亶
U+4EB8: duǒ  # 亸
U+4EB9: wěi  # 亹 ?-> mén
U+4EBA: rén  # 人
U+4EBF: yì  # 亿
U+4EC0: shén  # 什
U+4EC1: rén  # 仁
U+4EC2: lè  # 仂
U+4EC3: dīng  # 仃
U+4EC4: zè  # 仄
U+4EC5: jǐn  # 仅
U+4EC6: pū  # 仆
U+4EC7: chóu  # 仇
U+4EC9: zhǎng  # 仉
U+4ECA: jīn  # 今
U+4ECB: jiè  # 介
U+4ECD: réng  # 仍
U+4ECE: cóng  # 从
U+4ED1: lún  # 仑
U+4ED3: cāng  # 仓
U+4ED4: zǎi  # 仔 ?-> zǐ zī
U+4ED5: shì  # 仕
U+4ED6: tā  # 他
U+4ED7: zhàng  # 仗
U+4ED8: fù  # 付
U+4ED9: xiān  # 仙
U+4EDD: tóng  # 仝
U+4EDE: rèn  # 仞
U+4EDF: qiān  # 仟
U+4EE1: gē  # 仡 ?-> yì
U+4EE3: dài  # 代
U+4EE4: lìng  # 令
U+4EE5: yǐ  # 以
U+4EE8: sā  # 仨
U+4EEA: yí  # 仪
U+4EEB: mù  # 仫
U+4EEC: men  # 们 ?-> mén
U+4EF0: yǎng  # 仰
U+4EF2: zhòng  # 仲
U+4EF3: pǐ  # 仳
U+4EF5: wǔ  # 仵
U+4EF6: jiàn  # 件
U+4EF7: jià  # 价
U+4EFB: rèn  # 任
U+4EFD: fèn  # 份
U+4EFF: fǎng  # 仿
U+4F01: qǐ  # 企
U+4F08: xǐn  # 伈
U+4F09: kàng  # 伉
U+4F0A: yī  # 伊
U+4F0B: jí  # 伋
U+4F0D: wǔ  # 伍
U+4F0E: jì  # 伎
U+4F0F: fú  # 伏
U+4F10: fá  # 伐
U+4F11: xiū  # 休
U+4F17: zhòng  # 众
U+4F18: yōu  # 优
U+4F19: huǒ  # 伙
U+4F1A: huì  # 会
U+4F1B: yǔ  # 伛
U+4F1E: sǎn  # 伞
U+4F1F: wěi  # 伟
U+4F20: chuán  # 传
U+4F22: yá  # 伢
U+4F23: qiàn  # 伣
U+4F24: shāng  # 伤
U+4F25: chāng  # 伥
U+4F26: lún  # 伦
U+4F27: cāng  # 伧
U+4F2A: wěi  # 伪
U+4F2B: zhù  # 伫
U+4F2D: xián  # 伭
U+4F2F: bó  # 伯
U+4F30: gū  # 估
U+4F32: nì  # 伲 ?-> nǐ
U+4F34: bàn  # 伴
U+4F36: líng  # 伶
U+4F38: shēn  # 伸
U+4F3A: cì  # 伺
U+4F3C: shì  # 似 ?-> sì
U+4F3D: gā  # 伽 ?-> jiā qié
U+4F3E: pī  # 伾
U+4F41: yǐ  # 佁
U+4F43: diàn  # 佃
U+4F46: dàn  # 但
U+4F4D: wèi  # 位
U+4F4E: dī  # 低
U+4F4F: zhù  # 住
U+4F50: zuǒ  # 佐
U+4F51: yòu  # 佑
U+4F53: tǐ  # 体
U+4F55: hé  # 何
U+4F56: bì  # 佖
U+4F57: tuó  # 佗
U+4F58: shé  # 佘
U+4F59: yú  # 余
U+4F5A: yì  # 佚
U+4F5B: fú  # 佛 ?-> fó
U+4F5C: zuò  # 作
U+4F5D: gōu  # 佝
U+4F5E: nìng  # 佞
U+4F5F: tóng  # 佟
U+4F60: nǐ  # 你
U+4F63: yōng  # 佣
U+4F64: wǎ  # 佤
U+4F65: qiān  # 佥
U+4F69: pèi  # 佩
U+4F6C: lǎo  # 佬
U+4F6F: yáng  # 佯
U+4F70: bǎi  # 佰
U+4F73: jiā  # 佳
U+4F74: èr  # 佴
U+4F76: jí  # 佶
U+4F78: huó  # 佸
U+4F7A: quán  # 佺
U+4F7B: tiāo  # 佻
U+4F7C: jiǎo  # 佼
U+4F7D: cì  # 佽
U+4F7E: yì  # 佾
U+4F7F: shǐ  # 使
U+4F81: shēn  # 侁
U+4F82: tuō  # 侂
U+4F83: kǎn  # 侃
U+4F84: zhí  # 侄
U+4F88: chǐ  # 侈
U+4F89: kuǎ  # 侉
U+4F8B: lì  # 例
U+4F8D: shì  # 侍
U+4F8F: zhū  # 侏
U+4F91: yòu  # 侑
U+4F94: móu  # 侔
U+4F97: dòng  # 侗
U+4F98: chà  # 侘
U+4F9B: gōng  # 供
U+4F9D: yī  # 依
U+4FA0: xiá  # 侠
U+4FA3: lǚ  # 侣
U+4FA5: jiǎo  # 侥
U+4FA6: zhēn  # 侦
U+4FA7: cè  # 侧
U+4FA8: qiáo  # 侨
U+4FA9: kuài  # 侩
U+4FAA: chái  # 侪
U+4FAC: nóng  # 侬
U+4FAE: wǔ  # 侮
U+4FAF: hóu  # 侯
U+4FB4: chǒu  # 侴 ?-> hào
U+4FB5: qīn  # 侵
U+4FB9: tǐng  # 侹
U+4FBF: biàn  # 便
U+4FC3: cù  # 促
U+4FC4: é  # 俄
U+4FC5: qiú  # 俅
U+4FCA: jùn  # 俊
U+4FCD: liáng  # 俍
U+4FCE: zǔ  # 俎
U+4FCF: qiào  # 俏
U+4FD0: lì  # 俐
U+4FD1: yǒng  # 俑
U+4FD7: sú  # 俗
U+4FD8: fú  # 俘
U+4FD9: xī  # 俙
U+4FDA: lǐ  # 俚
U+4FDC: pīng  # 俜
U+4FDD: bǎo  # 保
U+4FDE: yú  # 俞
U+4FDF: qí  # 俟 ?-> sì
U+4FE1: xìn  # 信
U+4FE3: yǔ  # 俣
U+4FE6: chóu  # 俦
U+4FE8: yǎn  # 俨
U+4FE9: liǎ  # 俩 ?-> liǎng
U+4FEA: lì  # 俪
U+4FEB: lái  # 俫
U+4FED: jiǎn  # 俭
U+4FEE: xiū  # 修
U+4FEF: fǔ  # 俯
U+4FF1: jù  # 俱
U+4FF3: pái  # 俳
U+4FF5: biào  # 俵
U+4FF6: chù  # 俶
U+4FF8: fèng  # 俸
U+4FFA: ǎn  # 俺
U+4FFE: bǐ  # 俾
U+500C: guān  # 倌
U+500D: bèi  # 倍
U+500F: shū  # 倏
U+5012: dào  # 倒 ?-> dǎo
U+5013: tán  # 倓
U+5014: jué  # 倔
U+5015: chuí  # 倕
U+5018: tǎng  # 倘
U+5019: hòu  # 候
U+501A: yǐ  # 倚
U+501C: tì  # 倜
U+501E: jìng  # 倞 -> liàng
U+501F: jiè  # 借
U+5021: chàng  # 倡
U+5025: kōng  # 倥
U+5026: juàn  # 倦
U+5027: zōng  # 倧
U+5028: jù  # 倨
U+5029: qiàn  # 倩
U+502A: ní  # 倪
U+502C: zhuō  # 倬
U+502D: wō  # 倭
U+502E: luǒ  # 倮
U+5034: bèn  # 倴
U+503A: zhài  # 债
U+503B: yē  # 倻
U+503C: zhí  # 值
U+503E: qīng  # 倾
U+5041: chēng  # 偁
U+5043: yǎn  # 偃
U+5047: jiǎ  # 假
U+5048: jì  # 偈
U+504C: ruò  # 偌
U+504E: wēi  # 偎
U+504F: piān  # 偏
U+5053: wò  # 偓
U+5055: xié  # 偕
U+505A: zuò  # 做
U+505C: tíng  # 停
U+5061: zhàn  # 偡
U+5065: jiàn  # 健
U+506C: zǒng  # 偬
U+506D: miǎn  # 偭
U+5070: xiè  # 偰
U+5072: cāi  # 偲
U+5076: ǒu  # 偶
U+5077: tōu  # 偷
U+507B: lóu  # 偻 -> lǚ
U+507E: fèn  # 偾
U+507F: cháng  # 偿
U+5080: guī  # 傀 -> kuǐ
U+5083: sù  # 傃
U+5085: fù  # 傅
U+5088: lì  # 傈
U+5089: nù  # 傉
U+508D: bàng  # 傍
U+5092: xī  # 傒
U+5095: jué  # 傕 -> què
U+50A3: dǎi  # 傣
U+50A5: tǎng  # 傥
U+50A7: bīn  # 傧
U+50A8: chǔ  # 储
U+50A9: nuó  # 傩
U+50AC: cuī  # 催
U+50B2: ào  # 傲
U+50BA: chì  # 傺
U+50BB: shǎ  # 傻
U+50C7: lù  # 僇
U+50CE: zhuàn  # 僎
U+50CF: xiàng  # 像
U+50D4: zǔn  # 僔
U+50D6: xī  # 僖
U+50DA: liáo  # 僚
U+50E6: jiù  # 僦
U+50E7: sēng  # 僧
U+50EC: jiāo  # 僬
U+50ED: jiàn  # 僭
U+50EE: tóng  # 僮
U+50F0: bó  # 僰
U+50F3: sù  # 僳
U+50F5: jiāng  # 僵
U+50FB: pì  # 僻
U+5106: jǐng  # 儆
U+5107: xuān  # 儇
U+510B: dān  # 儋
U+5112: rú  # 儒
U+5121: lěi  # 儡
U+5126: biāo  # 儦
U+5133: chán  # 儳
U+5134: ráng  # 儴
U+513F: ér  # 儿
U+5140: wù  # 兀
U+5141: yǔn  # 允
U+5143: yuán  # 元
U+5144: xiōng  # 兄
U+5145: chōng  # 充
U+5146: zhào  # 兆
U+5148: xiān  # 先
U+5149: guāng  # 光
U+514B: kè  # 克
U+514D: miǎn  # 免
U+5151: duì  # 兑
U+5154: tù  # 兔
U+5155: sì  # 兕
U+5156: yǎn  # 兖
U+515A: dǎng  # 党
U+515C: dōu  # 兜
U+5162: jīng  # 兢
U+5165: rù  # 入
U+5168: quán  # 全
U+516B: bā  # 八
U+516C: gōng  # 公
U+516D: liù  # 六
U+516E: xī  # 兮
U+5170: lán  # 兰
U+5171: gòng  # 共
U+5173: guān  # 关
U+5174: xīng  # 兴 -> xìng
U+5175: bīng  # 兵
U+5176: qí  # 其
U+5177: jù  # 具
U+5178: diǎn  # 典
U+5179: zī  # 兹
U+517B: yǎng  # 养
U+517C: jiān  # 兼
U+517D: shòu  # 兽
U+5180: jì  # 冀
U+5181: chǎn  # 冁
U+5185: nèi  # 内
U+5188: gāng  # 冈
U+5189: rǎn  # 冉
U+518C: cè  # 册
U+518D: zài  # 再
U+518F: jiǒng  # 冏
U+5192: mào  # 冒
U+5194: xǔ  # 冔 -> xú
U+5195: miǎn  # 冕
U+5197: rǒng  # 冗
U+5199: xiě  # 写
U+519B: jūn  # 军
U+519C: nóng  # 农
U+51A0: guān  # 冠
U+51A2: zhǒng  # 冢
U+51A4: yuān  # 冤
U+51A5: míng  # 冥
U+51AC: dōng  # 冬
U+51AE: gāng  # 冮
U+51AF: féng  # 冯
U+51B0: bīng  # 冰
U+51B1: hù  # 冱
U+51B2: chōng  # 冲
U+51B3: jué  # 决
U+51B5: kuàng  # 况
U+51B6: yě  # 冶
U+51B7: lěng  # 冷
U+51BB: dòng  # 冻
U+51BC: xiǎn  # 冼
U+51BD: liè  # 冽
U+51C0: jìng  # 净
U+51C4: qī  # 凄
U+51C6: zhǔn  # 准
U+51C7: sōng  # 凇
U+51C9: liáng  # 凉
U+51CB: diāo  # 凋
U+51CC: líng  # 凌
U+51CF: jiǎn  # 减
U+51D1: còu  # 凑
U+51D3: lì  # 凓
U+51D8: sī  # 凘
U+51DB: lǐn  # 凛
U+51DD: níng  # 凝
U+51E0: jǐ  # 几 -> jī
U+51E1: fán  # 凡
U+51E4: fèng  # 凤
U+51EB: fú  # 凫
U+51ED: píng  # 凭
U+51EF: kǎi  # 凯
U+51F0: huáng  # 凰
U+51F3: dèng  # 凳
U+51F6: xiōng  # 凶
U+51F8: tū  # 凸
U+51F9: āo  # 凹
U+51FA: chū  # 出
U+51FB: jī  # 击
U+51FC: dàng  # 凼
U+51FD: hán  # 函
U+51FF: záo  # 凿
U+5200: dāo  # 刀
U+5201: diāo  # 刁
U+5203: rèn  # 刃
U+5206: fēn  # 分
U+5207: qiè  # 切 -> qiē
U+5208: yì  # 刈
U+520A: kān  # 刊
U+520D: chú  # 刍
U+520E: wěn  # 刎
U+5211: xíng  # 刑
U+5212: huà  # 划 -> huá
U+5216: yuè  # 刖
U+5217: liè  # 列
U+5218: liú  # 刘
U+5219: zé  # 则
U+521A: gāng  # 刚
U+521B: chuàng  # 创
U+521D: chū  # 初
U+5220: shān  # 删
U+5224: pàn  # 判
U+5228: páo  # 刨
U+5229: lì  # 利
U+522B: bié  # 别
U+522C: chǎn  # 刬
U+522D: jǐng  # 刭
U+522E: guā  # 刮
U+5230: dào  # 到
U+5233: kū  # 刳
U+5236: zhì  # 制
U+5237: shuā  # 刷
U+5238: quàn  # 券
U+5239: shā  # 刹 -> chà
U+523A: cì  # 刺
U+523B: kè  # 刻
U+523D: guì  # 刽
U+523F: guì  # 刿
U+5240: kǎi  # 剀
U+5241: duò  # 剁
U+5242: jì  # 剂
U+5243: tì  # 剃
U+5245: lóu  # 剅
U+524A: xuē  # 削 -> xiāo
U+524B: kè  # 剋 -> kēi
U+524C: lá  # 剌 -> là
U+524D: qián  # 前
U+5250: guǎ  # 剐
U+5251: jiàn  # 剑
U+5254: tī  # 剔
U+5255: fèi  # 剕
U+5256: pōu  # 剖
U+525C: wān  # 剜
U+525E: jī  # 剞
U+525F: duō  # 剟
U+5261: shàn  # 剡 -> yǎn
U+5265: bō  # 剥 -> bāo
U+5267: jù  # 剧
U+5269: shèng  # 剩
U+526A: jiǎn  # 剪
U+526F: fù  # 副
U+5272: gē  # 割
U+527D: piāo  # 剽
U+527F: jiǎo  # 剿
U+5281: qiāo  # 劁
U+5282: jué  # 劂
U+5284: zhā  # 劄
U+5288: pī  # 劈
U+5290: huō  # 劐
U+5293: yì  # 劓
U+529B: lì  # 力
U+529D: quàn  # 劝
U+529E: bàn  # 办
U+529F: gōng  # 功
U+52A0: jiā  # 加
U+52A1: wù  # 务
U+52A2: mài  # 劢
U+52A3: liè  # 劣
U+52A8: dòng  # 动
U+52A9: zhù  # 助
U+52AA: nǔ  # 努
U+52AB: jié  # 劫
U+52AC: qú  # 劬
U+52AD: shào  # 劭
U+52B1: lì  # 励
U+52B2: jìn  # 劲
U+52B3: láo  # 劳
U+52BC: jié  # 劼
U+52BE: hé  # 劾
U+52BF: shì  # 势
U+52C3: bó  # 勃
U+52C7: yǒng  # 勇
U+52C9: miǎn  # 勉
U+52CB: xūn  # 勋
U+52CD: qíng  # 勍
U+52D0: měng  # 勐
U+52D2: lēi  # 勒 -> lè
U+52D4: miǎn  # 勔
U+52D6: xù  # 勖
U+52D8: kān  # 勘
U+52DA: yì  # 勚
U+52DF: mù  # 募
U+52E0: lù  # 勠
U+52E4: qín  # 勤
U+52F0: xié  # 勰
U+52FA: sháo  # 勺
U+52FE: gōu  # 勾
U+52FF: wù  # 勿
U+5300: yún  # 匀
U+5305: bāo  # 包
U+5306: cōng  # 匆
U+5308: xiōng  # 匈
U+530D: pú  # 匍
U+530F: páo  # 匏
U+5310: fú  # 匐
U+5315: bǐ  # 匕
U+5316: huà  # 化
U+5317: běi  # 北
U+5319: shi  # 匙 -> chí
U+531C: yí  # 匜
U+531D: zā  # 匝
U+5320: jiàng  # 匠
U+5321: kuāng  # 匡
U+5323: xiá  # 匣
U+5326: guǐ  # 匦
U+532A: fěi  # 匪
U+532E: kuì  # 匮
U+5339: pǐ  # 匹
U+533A: qū  # 区
U+533B: yī  # 医
U+533C: kē  # 匼
U+533E: biǎn  # 匾
U+533F: nì  # 匿
U+5341: shí  # 十
U+5343: qiān  # 千
U+5345: sà  # 卅
U+5347: shēng  # 升
U+5348: wǔ  # 午
U+5349: huì  # 卉
U+534A: bàn  # 半
U+534E: huá  # 华
U+534F: xié  # 协
U+5351: bēi  # 卑
U+5352: zú  # 卒
U+5353: zhuó  # 卓
U+5355: dān  # 单
U+5356: mài  # 卖
U+5357: nán  # 南
U+535A: bó  # 博
U+535C: bo  # 卜 -> bǔ
U+535E: biàn  # 卞
U+535F: bǔ  # 卟
U+5360: zhàn  # 占 -> zhān
U+5361: kǎ  # 卡
U+5362: lú  # 卢
U+5363: yǒu  # 卣
U+5364: lǔ  # 卤
U+5366: guà  # 卦
U+5367: wò  # 卧
U+536B: wèi  # 卫
U+536C: áng  # 卬 -> yǎng
U+536E: zhī  # 卮
U+536F: mǎo  # 卯
U+5370: yìn  # 印
U+5371: wēi  # 危
U+5373: jí  # 即
U+5374: què  # 却
U+5375: luǎn  # 卵
U+5377: juǎn  # 卷 -> juàn
U+5378: xiè  # 卸
U+537A: jǐn  # 卺
U+537F: qīng  # 卿
U+5382: chǎng  # 厂
U+5384: è  # 厄
U+5385: tīng  # 厅
U+5386: lì  # 历
U+5389: lì  # 厉
U+538B: yā  # 压
U+538C: yàn  # 厌
U+538D: shè  # 厍
U+5395: cè  # 厕
U+5396: páng  # 厖 -> máng
U+5398: lí  # 厘
U+539A: hòu  # 厚
U+539D: cuò  # 厝
U+539F: yuán  # 原
U+53A2: xiāng  # 厢
U+53A3: yǎn  # 厣
U+53A5: jué  # 厥
U+53A6: shà  # 厦
U+53A8: chú  # 厨
U+53A9: jiù  # 厩
U+53AE: sī  # 厮
U+53BB: qù  # 去
U+53BE: dū  # 厾
U+53BF: xiàn  # 县
U+53C1: sān  # 叁
U+53C2: cān  # 参
U+53C6: ài  # 叆
U+53C7: dài  # 叇
U+53C8: yòu  # 又
U+53C9: chā  # 叉
U+53CA: jí  # 及
U+53CB: yǒu  # 友
U+53CC: shuāng  # 双
U+53CD: fǎn  # 反
U+53D1: fā  # 发
U+53D4: shū  # 叔
U+53D5: zhuó  # 叕
U+53D6: qǔ  # 取
U+53D7: shòu  # 受
U+53D8: biàn  # 变
U+53D9: xù  # 叙
U+53DA: jiǎ  # 叚
U+53DB: pàn  # 叛
U+53DF: sǒu  # 叟
U+53E0: dié  # 叠
U+53E3: kǒu  # 口
U+53E4: gǔ  # 古
U+53E5: jù  # 句
U+53E6: lìng  # 另
U+53E8: dāo  # 叨 -> tāo
U+53E9: kòu  # 叩
U+53EA: zhǐ  # 只 -> zhī
U+53EB: jiào  # 叫
U+53EC: zhào  # 召
U+53ED: bā  # 叭
U+53EE: dīng  # 叮
U+53EF: kě  # 可
U+53F0: tái  # 台
U+53F1: chì  # 叱
U+53F2: shǐ  # 史
U+53F3: yòu  # 右
U+53F5: pǒ  # 叵
U+53F6: yè  # 叶
U+53F7: hào  # 号
U+53F8: sī  # 司
U+53F9: tàn  # 叹
U+53FB: lè  # 叻
U+53FC: diāo  # 叼
U+53FD: jī  # 叽
U+5401: xū  # 吁
U+5403: chī  # 吃
U+5404: gè  # 各
U+5406: yāo  # 吆
U+5408: hé  # 合
U+5409: jí  # 吉
U+540A: diào  # 吊
U+540C: tóng  # 同
U+540D: míng  # 名
U+540E: hòu  # 后
U+540F: lì  # 吏
U+5410: tǔ  # 吐
U+5411: xiàng  # 向
U+5412: zhā  # 吒 -> zhà
U+5413: xià  # 吓
U+5415: lǚ  # 吕
U+5416: yā  # 吖
U+5417: ma  # 吗 -> má
U+541B: jūn  # 君
U+541D: lìn  # 吝
U+541E: tūn  # 吞
U+541F: yín  # 吟
U+5420: fèi  # 吠
U+5421: bǐ  # 吡 -> pǐ
U+5423: qìn  # 吣
U+5426: fǒu  # 否
U+5427: ba  # 吧 -> bā
U+5428: dūn  # 吨
U+5429: fēn  # 吩
U+542B: hán  # 含
U+542C: tīng  # 听
U+542D: kēng  # 吭 -> háng
U+542E: shǔn  # 吮
U+542F: qǐ  # 启
U+5431: zhī  # 吱
U+5432: yǐn  # 吲
U+5434: wú  # 吴
U+5435: chǎo  # 吵
U+5438: xī  # 吸
U+5439: chuī  # 吹
U+543B: wěn  # 吻
U+543C: hǒu  # 吼
U+543D: hōng  # 吽 -> hǒu
U+543E: wú  # 吾
U+5440: ya  # 呀 -> yā
U+5443: è  # 呃
U+5446: dāi  # 呆
U+5447: qǐ  # 呇
U+5448: chéng  # 呈
U+544A: gào  # 告
U+544B: fū  # 呋
U+5450: nà  # 呐
U+5452: wǔ  # 呒 -> fǔ
U+5453: yì  # 呓
U+5454: dāi  # 呔
U+5455: ǒu  # 呕
U+5456: lì  # 呖
U+5457: bei  # 呗
U+5458: yuán  # 员
U+5459: guō  # 呙 -> wāi
U+545B: qiāng  # 呛
U+545C: wū  # 呜
U+5462: ne  # 呢
U+5463: ḿ  # 呣
U+5464: lìng  # 呤 -> líng
U+5466: yōu  # 呦
U+5468: zhōu  # 周
U+5471: gū  # 呱 -> guā
U+5472: cī  # 呲 -> zī
U+5473: wèi  # 味
U+5475: hē  # 呵
U+5476: náo  # 呶
U+5477: gā  # 呷 -> xiā
U+5478: pēi  # 呸
U+547B: shēn  # 呻
U+547C: hū  # 呼
U+547D: mìng  # 命
U+5480: jǔ  # 咀
U+5482: zā  # 咂
U+5484: duō  # 咄
U+5486: páo  # 咆
U+5487: bié  # 咇 -> bì
U+5489: yāng  # 咉 -> yǎng
U+548B: zǎ  # 咋
U+548C: hé  # 和
U+548D: hāi  # 咍
U+548E: jiù  # 咎
U+548F: yǒng  # 咏
U+5490: fù  # 咐
U+5492: zhòu  # 咒
U+5494: kā  # 咔 -> kǎ
U+5495: gū  # 咕
U+5496: kā  # 咖
U+5499: lóng  # 咙
U+549A: dōng  # 咚
U+549B: níng  # 咛
U+549D: sī  # 咝
U+54A1: èr  # 咡
U+54A3: guāng  # 咣
U+54A4: zhà  # 咤
U+54A5: xì  # 咥 -> dié
U+54A6: yí  # 咦
U+54A7: liě  # 咧
U+54A8: zī  # 咨
U+54A9: miē  # 咩
U+54AA: mī  # 咪
U+54AB: zhǐ  # 咫
U+54AC: yǎo  # 咬
U+54AF: gē  # 咯 -> lo
U+54B1: zán  # 咱
U+54B3: ké  # 咳
U+54B4: huī  # 咴
U+54B8: xián  # 咸
U+54BA: xuǎn  # 咺
U+54BB: xiū  # 咻
U+54BD: yàn  # 咽 -> yān
U+54BF: yī  # 咿
U+54C0: āi  # 哀
U+54C1: pǐn  # 品
U+54C2: shěn  # 哂
U+54C3: tóng  # 哃
U+54C4: hǒng  # 哄
U+54C6: duō  # 哆
U+54C7: wa  # 哇 -> wā
U+54C8: hā  # 哈
U+54C9: zāi  # 哉
U+54CC: pài  # 哌
U+54CD: xiǎng  # 响
U+54CE: āi  # 哎
U+54CF: gén  # 哏
U+54D0: kuāng  # 哐
U+54D1: yǎ  # 哑
U+54D2: dá  # 哒 -> dā
U+54D3: xiāo  # 哓
U+54D4: bì  # 哔
U+54D5: huì  # 哕 -> yuě
U+54D7: huā  # 哗 -> huá
U+54D9: kuài  # 哙
U+54DA: duǒ  # 哚
U+54DD: nóng  # 哝
U+54DE: mōu  # 哞
U+54DF: yō  # 哟
U+54E2: lòng  # 哢
U+54E5: gē  # 哥
U+54E6: ó  # 哦
U+54E7: chī  # 哧
U+54E8: shào  # 哨
U+54E9: lī  # 哩 -> li
U+54EA: nǎ  # 哪
U+54ED: kū  # 哭
U+54EE: xiāo  # 哮 -> xiào
U+54F1: bō  # 哱 -> pò
U+54F2: zhé  # 哲
U+54F3: zhā  # 哳
U+54FA: bǔ  # 哺
U+54FC: hēng  # 哼
U+54FD: gěng  # 哽
U+54FF: gě  # 哿
U+5501: yàn  # 唁
U+5506: suō  # 唆
U+5507: chún  # 唇
U+5509: āi  # 唉
U+550F: xī  # 唏
U+5510: táng  # 唐
U+5511: zuò  # 唑
U+5514: wú  # 唔 -> wù
U+551B: mà  # 唛
U+551D: gòng  # 唝
U+5520: láo  # 唠 -> lào
U+5522: suǒ  # 唢
U+5523: zào  # 唣
U+5524: huàn  # 唤
U+5527: jī  # 唧
U+552A: fěng  # 唪
U+552C: hǔ  # 唬
U+552E: shòu  # 售
U+552F: wéi  # 唯
U+5530: shuā  # 唰
U+5531: chàng  # 唱
U+5533: lì  # 唳
U+5535: ǎn  # 唵
U+5537: yō  # 唷
U+553C: shà  # 唼
U+553E: tuò  # 唾
U+553F: hū  # 唿
U+5541: zhāo  # 啁 -> zhōu
U+5543: kěn  # 啃
U+5544: zhuó  # 啄
U+5546: shāng  # 商
U+5549: lín  # 啉 -> lán
U+554A: a  # 啊 -> ā
U+5550: cuì  # 啐
U+5555: táo  # 啕
U+5556: dàn  # 啖
U+555C: chuài  # 啜 -> chuò
U+5561: fēi  # 啡
U+5564: pí  # 啤
U+5565: shá  # 啥
U+5566: la  # 啦 -> lā
U+5567: zé  # 啧
U+556A: pā  # 啪
U+556B: zhě  # 啫
U+556C: sè  # 啬
U+556D: zhuàn  # 啭
U+556E: niè  # 啮
U+5570: luō  # 啰
U+5574: chǎn  # 啴 -> tān
U+5575: bō  # 啵 -> bo
U+5576: dìng  # 啶
U+5577: lāng  # 啷
U+5578: xiào  # 啸
U+557B: chì  # 啻
U+557C: tí  # 啼
U+557E: jiū  # 啾
U+5580: kā  # 喀
U+5581: yóng  # 喁
U+5582: wèi  # 喂
